ticker,market_cap,shares_outstanding,snapshot_date
HDFCBANK.NS,10974173123955.068,15411000562.0,2026-09-07
ICICIBANK.NS,10214680143360.512,7177262854.0,2026-09-07
SBIN.NS,9379230303777.725,9230617586.0,2026-09-07
KOTAKBANK.NS,4222779983886.0,9947656028.0,2026-09-07
AXISBANK.NS,3962954442590.0,3113082830.0,2026-09-07
BAJFINANCE.NS,6597278344671.0,6220913102.0,2026-09-07
BAJAJFINSV.NS,3152482110220.0,1600244726.0,2026-09-07
HDFCLIFE.NS,1186807706949.3438,2172049147.0,2026-09-07
SBILIFE.NS,1780945490300.0,1003349572.0,2026-09-07
SHRIRAMFIN.NS,2449455868263.0,2352983543.0,2026-09-07
INDUSINDBK.NS,785763246692.0,779140552.0,2026-09-07
CHOLAFIN.NS,1570529973204.0,854013036.0,2026-09-07
TCS.NS,8336073641472.0,3618087518.0,2026-09-07
INFY.NS,4576639643140.0,4050123578.0,2026-09-07
HCLTECH.NS,3499638733946.3574,2705766714.0,2026-09-07
WIPRO.NS,1745083816155.3496,9892765740.0,2026-09-07
TECHM.NS,1414690740634.6724,885898127.0,2026-09-07
PERSISTENT.NS,881611781292.0,156231044.0,2026-09-07
COFORGE.NS,873907197581.7896,442978090.0,2026-09-07
HINDUNILVR.NS,4636683453793.868,2349591262.0,2026-09-07
ITC.NS,3309115510862.8203,12529782031.0,2026-09-07
NESTLEIND.NS,2719887348360.0,1928314320.0,2026-09-07
BRITANNIA.NS,1228789612044.0,240868296.0,2026-09-07
TATACONSUM.NS,999586912120.0,989690012.0,2026-09-07
VBL.NS,1378692711439.3274,3382464894.0,2026-09-07
GODREJCP.NS,898461748734.0,1023304953.0,2026-09-07
MARUTI.NS,3991026274356.0,314402574.0,2026-09-07
M&M.NS,3806416376880.0,1200762264.0,2026-09-07
TITAN.NS,4454307921700.0,887312335.0,2026-09-07
EICHERMOT.NS,2094737877633.0,274521706.0,2026-09-07
BAJAJ-AUTO.NS,3275386945122.0,274803838.0,2026-09-07
HEROMOTOCO.NS,1060748397100.0,200141207.0,2026-09-07
TRENT.NS,1521311754753.0,533232301.0,2026-09-07
SUNPHARMA.NS,4556337108030.0,2399334970.0,2026-09-07
CIPLA.NS,1118883949095.0,807858447.0,2026-09-07
DRREDDY.NS,958769475750.0,832988250.0,2026-09-07
DIVISLAB.NS,2415764078000.0,265468580.0,2026-09-07
APOLLOHOSP.NS,1243737283050.0,143784657.0,2026-09-07
ZYDUSLIFE.NS,1117204291840.0,997503832.0,2026-09-07
LT.NS,5454070885874.522,1375866086.0,2026-09-07
BEL.NS,2963018892950.4995,7309778829.0,2026-09-07
SIEMENS.NS,1416291248385.0,356120505.0,2026-09-07
HAL.NS,3247571400000.0,668775000.0,2026-09-07
ABB.NS,1570241058750.0,211908375.0,2026-09-07
ADANIPORTS.NS,3933549480513.403,2303959098.0,2026-09-07
COALINDIA.NS,2559689248233.759,6162728327.0,2026-09-07
RELIANCE.NS,17889928823470.0,13532472635.0,2026-09-07
NTPC.NS,3224141489555.0,9696666134.0,2026-09-07
ONGC.NS,2951962438903.969,12580279206.0,2026-09-07
POWERGRID.NS,2473960615854.0,9300603819.0,2026-09-07
BPCL.NS,1348855096877.377,4272584874.0,2026-09-07
IOC.NS,1943082487689.999,14121238383.0,2026-09-07
ULTRACEMCO.NS,3355887196080.0,294169635.0,2026-09-07
JSWSTEEL.NS,3234095737900.0,2440826972.0,2026-09-07
TATASTEEL.NS,2355026047104.3984,12474316070.0,2026-09-07
ASIANPAINT.NS,2422781773562.304,958644295.0,2026-09-07
GRASIM.NS,2253155658754.0,678252757.0,2026-09-07
HINDALCO.NS,2244255285858.0,2219837078.0,2026-09-07
TVSMOTOR.NS,1964157668550.0137,475226252.0,2026-09-07
MPHASIS.NS,462158895100.0,190817050.0,2026-09-07
