ticker,market_cap,shares_outstanding,snapshot_date
AAPL,4464797380509.033,14594180000.0,2026-08-17
MSFT,3678615190919.4673,7425545491.0,2026-08-17
NVDA,5453600448699.951,24221000000.0,2026-08-17
GOOGL,4230334383397.302,12229934831.0,2026-08-17
AMZN,2833025193851.3667,10786313572.0,2026-08-17
META,1502646484621.274,2547506225.0,2026-08-17
AVGO,1869681395551.276,4757580198.0,2026-08-17
ORCL,433568507226.6998,2880471000.0,2026-08-17
CRM,160695995498.65723,819000000.0,2026-08-17
AMD,839728860767.5886,1632475042.0,2026-08-17
CSCO,440179424590.0304,3941434665.0,2026-08-17
INTC,541825789355.0,5286105262.0,2026-08-17
QCOM,174079492950.43945,1050000000.0,2026-08-17
IBM,220760937165.19836,942134390.0,2026-08-17
ADBE,104947945632.93457,397500000.0,2026-08-17
JPM,964496269259.2314,2658186195.0,2026-08-17
BAC,450962327120.7279,6992748365.0,2026-08-17
WFC,268591620100.66864,3023999336.0,2026-08-17
MS,341689920959.47266,1572000000.0,2026-08-17
GS,302649397698.9785,291171408.0,2026-08-17
C,233717270046.86847,1677436783.0,2026-08-17
BLK,181774692341.2798,154869259.0,2026-08-17
SCHW,192111898135.24347,1729335714.0,2026-08-17
AXP,231280119025.0154,675309833.0,2026-08-17
CB,132576269198.12512,385799859.0,2026-08-17
LLY,1052397568184.4026,891741406.0,2026-08-17
UNH,360590787746.58154,897594847.0,2026-08-17
JNJ,627417114437.8037,2409898597.0,2026-08-17
ABBV,440825089780.2908,1767117285.0,2026-08-17
MRK,335140586270.8676,2467171638.0,2026-08-17
PFE,152694260667.51703,5699673589.0,2026-08-17
TMO,217518622756.61,369747286.0,2026-08-17
ABT,192505141680.0,1730383296.0,2026-08-17
AMGN,224092267835.77496,539708274.0,2026-08-17
DHR,142319524486.95682,702986054.0,2026-08-17
TSLA,1351811543153.3564,3949547394.0,2026-08-17
HD,337882944256.3186,997116682.0,2026-08-17
NKE,60316528176.19371,1480887033.0,2026-08-17
MCD,193065829400.7075,707641531.0,2026-08-17
SBUX,122766602783.20312,1140000000.0,2026-08-17
LOW,122561670684.81445,561000000.0,2026-08-17
TJX,168036593955.31808,1104704446.0,2026-08-17
PG,336598989376.2201,2328598978.0,2026-08-17
COST,426227467697.28076,443478804.0,2026-08-17
WMT,917327757482.1067,7958079155.0,2026-08-17
PEP,192163073287.11935,1364891558.0,2026-08-17
KO,377376590164.4285,4302549243.0,2026-08-17
PM,296744411699.90784,1558613439.0,2026-08-17
GE,382217283605.1632,1037562513.0,2026-08-17
CAT,393743723037.48944,459674889.0,2026-08-17
HON,74151286867.49313,316940010.0,2026-08-17
BA,183105021086.18927,790370020.0,2026-08-17
UNP,174468087901.5011,594075498.0,2026-08-17
LMT,140477713845.67804,230790753.0,2026-08-17
XOM,658317129893.1189,4111911960.0,2026-08-17
CVX,392320654800.0,1961603274.0,2026-08-17
COP,154455312720.2847,1218294007.0,2026-08-17
NEE,179758330897.82996,2085605358.0,2026-08-17
PLD,134025514293.08508,950333372.0,2026-08-17
T,170555874646.1357,6852385650.0,2026-08-17
