model_name,regime_bucket,sharpe_ratio,hit_rate,mean_net_return,n_months,low_confidence_flag
NeuralNet,bull,0.3705,0.4,0.0086,35,False
NeuralNet,bear,,,,0,True
NeuralNet,high_vol,0.913,0.4706,0.0181,17,False
NeuralNet,low_vol,-0.0165,0.3333,-0.0004,18,False
RandomForest,bull,0.2069,0.5143,0.0052,35,False
RandomForest,bear,,,,0,True
RandomForest,high_vol,0.4921,0.5882,0.0121,17,False
RandomForest,low_vol,-0.0528,0.4444,-0.0014,18,False
Ridge,bull,0.6293,0.5429,0.02,35,False
Ridge,bear,,,,0,True
Ridge,high_vol,0.533,0.5882,0.0157,17,False
Ridge,low_vol,0.6946,0.5,0.0239,18,False
XGBoost,bull,0.0709,0.5143,0.0013,35,False
XGBoost,bear,,,,0,True
XGBoost,high_vol,-0.8051,0.4118,-0.0146,17,False
XGBoost,low_vol,0.8734,0.6111,0.0164,18,False
